Şube;Stok Kodu;Ürün Adı;Miktar
ABACI;ST00025;*CAPPUCCİNO;291
ABACI;ST00200;AYRAN;1722
ABACI;ST00415;BARDAK COOKİE;20
ABACI;ST00128;CAPPY ATOM;8
ABACI;ST00126;CAPPY KARIŞIK;149
ABACI;ST00127;CAPPY ŞEFTALİ;23
ABACI;ST00026;COCA COLA;963
ABACI;ST00027;COLA ZERO;43
ABACI;ST00020;ÇAY;27298
ABACI;ST00030;DAMLA SADE SODA;802
ABACI;ST00022;DUBLE TÜRK KAHVESİ;267
ABACI;ST00023;ESPRESSO;59
ABACI;ST00028;FANTA 330 ML KUTU;85
ABACI;ST00125;FUSE TEA KAVUN ÇİLEK;114
ABACI;ST00122;FUSE TEA LİMON;53
ABACI;ST00124;FUSE TEA MANGO ANANAS;193
ABACI;ST00121;FUSE TEA ŞEFTALİ;257
ABACI;ST00017;HAVUÇLU CUPCAKE;690
ABACI;ST00246;KAKOULU CUPCAKE;809
ABACI;ST00015;KALBURABASTI;1
ABACI;ST00003;KARIŞIK SICAK TABAK;6943
ABACI;ST00002;KAŞARLI TOST;8679
ABACI;ST00019;KURU PASTA ADET;1
ABACI;ST00118;LATTE;527
ABACI;ST00301;MAGNOLİA*;365
ABACI;ST00024;NESCAFE;168
ABACI;ST00031;NİĞDE GAZOZ;326
ABACI;ST00004;PATATES KIZARTMASI;2433
ABACI;ST00006;PATSO;155
ABACI;ST00294;PROFİTEROL;541
ABACI;ST00120;SICAK ÇİKOLATA;287
ABACI;ST00029;SPRİTE;1
ABACI;st0000351;SU;5750
ABACI;ST00298;TİRAMİSU;530
ABACI;ST00131;TÜRK KAHVESİ ORTA;2926
ABACI;ST00130;TÜRK KAHVESİ SADE;5990
ABACI;ST00132;TÜRK KAHVESİ ŞEKERLİ;571
