Durumu;Stok Kodu;Stok Adı;Üretim Kodu;Üretim Adı;Planlama Miktarı;Şube Kodu;Kaydeden;Kayıt Tarihi;Değiştiren;Değiştirme Tarihi;Ticari Ünvanı;Teslim Tarihi;Adı Soyadı
Reçete;ST00004;PATATES KIZARTMASI;BUR00001;PATATES KIZARTMASI;1;MERKEZ;MERKEZ;11.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000052;TEK KULLANIMLIK KETÇAP;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000053;TEK KULLANIMLIK MAYONEZ;1;0;ADET;1;ADET;MERKEZ;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00008;ÇITIR TAVUKLU SALATA;BUR00008;ÇITIR TAVUKLU SALATA;1;MERKEZ;MERKEZ;12.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00007;MEVSİM SALATA;1;0;Adet;1;Adet;MERKEZ;;;;;
;ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00006;PATSO;BUR00011;PATSO;1;MERKEZ;MERKEZ;13.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;1;0;ADET;0,167;PAKET;MERKEZ;;;;;
;st0000152;PINAR KETÇAP SERVİS 800 GR;0,03;0;KİLOGRAM;0,03;KİLOGRAM;MERKEZ;;;;;
;st0000111;PINAR MAYONEZ SERVİS 700 GR;0,035;0;KİLOGRAM;0,035;KİLOGRAM;MERKEZ;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,16;0;KİLOGRAM;0,16;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00010;ÇITIR TAVUKLU SANDWİÇ;BUR00013;ÇITIR TAVUKLU SANDWİÇ;1;MERKEZ;MERKEZ;13.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;1;0;ADET;0,167;PAKET;MERKEZ;;;;;
;st0000144;YOĞURT 2 KG;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,001;0;KİLOGRAM;0,001;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;ST00182;KÜP KESİM SALATALIK TURŞUSU;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000111;PINAR MAYONEZ SERVİS 700 GR;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000336;AKDENİZ SALATASI;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000173;HARUN DİLİM KAŞAR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00183;SANDWİÇ SOSU;BUR00014;SANDWİÇ SOSU;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000144;YOĞURT 2 KG;0,02;0;KİLOGRAM;0,02;KİLOGRAM;MERKEZ;;;;;
;st0000109;KEKİK 1000 GR;0,001;0;KİLOGRAM;0,001;KİLOGRAM;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000111;PINAR MAYONEZ SERVİS 700 GR;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00009;KAŞARLI SOĞUK SANDWİÇ;BUR00016;KAŞARLI SOĞUK SANDWİÇ;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;1;0;ADET;0,167;PAKET;MERKEZ;;;;;
;ST00183;SANDWİÇ SOSU;1;0;KİLOGRAM;1;KİLOGRAM;MERKEZ;;;;;
;st0000306;DOMATES;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000313;SALATALIK;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000191;TEKSEN SİYAH ZEYTİN EZMESİ 5 KG;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000173;HARUN DİLİM KAŞAR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;st0000336;AKDENİZ SALATASI;0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00002;KAŞARLI TOST;BUR00018;KAŞARLI TOST;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000433;TOST EKMEĞİ 1000 GR;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000004;ÜLKER TEREMYAĞ KG ;0,01;0;KİLOGRAM;0,01;KİLOGRAM;MERKEZ;;;;;
;st0000173;HARUN DİLİM KAŞAR;0,04;0;KİLOGRAM;0,04;KİLOGRAM;MERKEZ;;;;;
;st0000052;TEK KULLANIMLIK KETÇAP;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000053;TEK KULLANIMLIK MAYONEZ;1;0;ADET;1;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00003;KARIŞIK SICAK TABAK;BUR00019;KARIŞIK SICAK TABAK;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000448;GEDİK PL. KOKT. SOSİS 1KG*8;0,08;0;KİLOGRAM;0,08;KİLOGRAM;MERKEZ;;;;;
;st0000009;PEKMEZCİ SİGARA BÖREĞİ (KALEM);0,05;0;KİLOGRAM;0,05;KİLOGRAM;MERKEZ;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,05;0;LİTRE;0,05;LİTRE;MERKEZ;;;;;
;ST00202;SUPERFRESH 9*9 PATATES (KLASİK);0,13;0;KİLOGRAM;0,13;KİLOGRAM;MERKEZ;;;;;
;ST00166;ÇITIR TAVUK BONFİLE PARÇALARI;0,1;0;KİLOGRAM;0,1;KİLOGRAM;MERKEZ;;;;;
;st0000052;TEK KULLANIMLIK KETÇAP;2;0;ADET;2;ADET;MERKEZ;;;;;
;st0000053;TEK KULLANIMLIK MAYONEZ;2;0;ADET;2;ADET;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00005;FIRIN MAKARNA;BUR00022;FIRIN MAKARNA;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000160;FIRIN MAKARNA;0,06;0;KİLOGRAM;0,06;KİLOGRAM;MERKEZ;;;;;
;st0000020;OVA UN ;0,015;0;KİLOGRAM;0,015;KİLOGRAM;MERKEZ;;;;;
;st0000439;SÜT YARIM YAĞLI 1 LT;0,06;0;LİTRE;0,06;LİTRE;MERKEZ;;;;;
;st0000083;AYÇİÇEK YAĞI  LT;0,012;0;LİTRE;0,012;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000030;RENDE MOZARELLA PEYNİR;0,012;0;KİLOGRAM;0,012;KİLOGRAM;MERKEZ;;;;;
;st0000382;YUMURTA 30 LU;1;0;ADET;1;ADET;MERKEZ;;;;;
;st0000015;KARABİBER 1000GR;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;st0000110;TOZ BİBER;0,003;0;KİLOGRAM;0,003;KİLOGRAM;MERKEZ;;;;;
;ST00184;LOR PEYNİRİ;0,006;0;KİLOGRAM;0,006;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00185;SALATA SOSU;BUR00023;SALATA SOSU;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;15.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000218;OLIOVILLA SIZMA Z.YAĞI LT;0,03;0;LİTRE;0,03;LİTRE;MERKEZ;;;;;
;st0000177;LİMON SOSU;0,01;0;LİTRE;0,01;LİTRE;MERKEZ;;;;;
;st0000014;SAF TUZ 750 GR   ;0,002;0;KİLOGRAM;0,002;KİLOGRAM;MERKEZ;;;;;
;st0000078;TOZ ŞEKER 50 KG;0,004;0;KİLOGRAM;0,004;KİLOGRAM;MERKEZ;;;;;
;;;;;;;;;;;;;
Reçete;ST00036;PATAT;BUR00024;PATAT;1;MERKEZ;MERKEZ;22.08.2025;MERKEZ;22.12.2025;;;
;Stok Kodu;Stok Adı;Miktarı;Fire Miktarı;Birimi;Toplam Miktar;Birimi;Depo Adı;;;;;
;st0000001;CAJUN BAHARATI 1000 GR;0,005;0;KİLOGRAM;0,005;KİLOGRAM;MERKEZ;;;;;
;st0000005;FRİTA YAĞI 18 LT;0,025;0;LİTRE;0,025;LİTRE;MERKEZ;;;;;
;st0000038;KARTON KÜLAH;1;0;ADET;1;ADET;MERKEZ;;;;;
