Ürün Adı;Şube;Birim Maliyet (TL)
24*24 PEÇETE;SONKURT;4,58
24*24 PEÇETE;ABACI;4,58
33-B KÖPÜK TABAK;SONKURT;0,61
4 OZ BARDAK;ATILLA;0,98
4 OZ BARDAK;TOROS;0,98
4 OZ BARDAK;SONKURT;0,98
4 OZ BARDAK;ADILE;0,98
4 OZ BARDAK;CINARTEPE;0,98
4 OZ BARDAK;GUZELYALI;0,98
4 OZ BARDAK;GUZELYALI;0
4 OZ BARDAK;ABACI;0
7 OZ BARDAK;ATILLA;0
7 OZ BARDAK;TOROS;0
7 OZ BARDAK;SONKURT;0
7 OZ BARDAK;GUZELYALI;0
7 OZ BARDAK;GUZELYALI;0
7 OZ BARDAK;ABACI;0,55
7 OZ BARDAK;CINARTEPE;0,55
8 OZ BARDAK;GUZELYALI;0,94
8 OZ BARDAK;ATILLA;0,94
8 OZ BARDAK;TOROS;0,94
8 OZ BARDAK;SONKURT;0,94
8 OZ BARDAK;ADILE;0,94
8 OZ BARDAK;CINARTEPE;0,94
8 OZ BARDAK;AYAKUSTU;0,94
8 OZ BARDAK;GUZELYALI;0,94
ALBA SADE 10KG;CINARLI;114
ALÜMİNYUM 2 GÖZLÜ KASE + KAPAK;CINARTEPE;596
AMERİKAN 50*35 KAPSÜL 24 ADET;CINARLI;0
ANANAS;CINARLI;150
ARAP SABUNU KATI;CINARTEPE;0
ARPA ŞEHRİYE DÖKME KG;CINARLI;37,8
Arpacık Soğan;CINARLI;0
Asperox Mavi Güç;ABACI;98
Asperox Mavi Güç;SONKURT;98
Asperox Mavi Güç;ADILE;98
Asperox Sarı güç;ABACI;98
Asperox Sarı güç;SONKURT;98
Asperox Sarı güç;ADILE;98
Asperox Sarı güç;AYAKUSTU;98
AŞURELİK BUĞDAY;CINARLI;0
Atlet poşet;GUZELYALI;0
Atlet poşet;ADILE;0
Atlet poşet;AYAKUSTU;0
AYRAN 200 ML;CINARLI;8,86
AYRAN 200 ML;SONKURT;8,86
AYRAN 200 ML HALİL KOYUNCUOĞLU;TOROS;9,2
AYRAN 200 ML HALİL KOYUNCUOĞLU;ATILLA;9,2
AYRAN 200 ML HALİL KOYUNCUOĞLU;ABACI;9,2
BAKLA;CINARLI;0
BAL;CINARLI;192
BAL;CINARTEPE;192
BARDAK COOKİE;SONKURT;0
Bardak kapağı ;ATILLA;0
Bardak kapağı ;SONKURT;0
BARİLLA LAZANYA;CINARLI;0
BERRAK ACI BİBER ;AYAKUSTU;0
BEYAZ ÇİKOLATA KUVERTÜR;CINARLI;0
Bezelenmiş Pizza Hamuru;CINARLI;0
BREF POWER AKTİF 4'LÜ;CINARTEPE;0
Bulaşık makinesi kireç çözücü;GUZELYALI;0
Bulaşık makinesi kireç çözücü;ADILE;0
ENDÜSTRİYEL SÜNGER;TOROS;0
ENDÜSTRİYEL SÜNGER;ABACI;0
ENDÜSTRİYEL SÜNGER;ADILE;0
BULAŞIK TOP TEL;ADILE;48,2
BULAŞIK TOP TEL;CINARTEPE;48,2
BURGER PEYNİRİ 1000 G;CINARLI;408,9
Burpak alüminyum folyo;GUZELYALI;0
BÜYÜK FİNCAN BARDAĞI;ADILE;0
BÜYÜK FİNCAN TABAĞI;ADILE;0
CAJUN BAHARATI 1000 GR;CINARLI;207,5
CAJUN BAHARATI 1000 GR;GUZELYALI;207,5
CAJUN BAHARATI 1000 GR;ABACI;207,5
CAJUN BAHARATI 1000 GR;CINARTEPE;207,5
CAJUN BAHARATI 1000 GR;AYAKUSTU;207,5
CAM KAVANOZ ;CINARLI;0
CAMÇEK;SONKURT;0
Cansın yağçöz;GUZELYALI;0
CAPPY ATOM;ATILLA;0
CAPPY ATOM;CINARTEPE;0
CAPPY KARIŞIK;CINARLI;26,82
