id,name,energy,protein,carbohydrate,fat,unit_price,api_id,category_id,waste_percentage,is_active,user_id,created_at,updated_at,supplier_id,is_piece_based,piece_weight,piece_name
00015105-0163-4122-9247-1cdecd04fc01,CCZ SUGAR KUTU 330ML PXE DYS,0.00,0.00,0.00,0.00,64.36,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:13:57+00,2026-03-16 14:24:16.29008+00,,false,,KG
005034ef-7a27-48b2-b41e-477f36671f06,19 LT.SU,0.00,0.00,0.00,0.00,110.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:15:23.657071+00,2026-03-16 14:15:23.657071+00,,true,,Adet
0114a6c8-a6f5-4883-9aca-fb574f8e22a9,SÜTAŞ PEYNİR TOST DİLMLİ1500GR,0.00,0.00,0.00,0.00,494.95,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:16:02.374147+00,2026-03-16 14:16:02.374147+00,,true,,Parça
0146f680-6f9a-4419-9081-7c061cf77792,PATATES,0.00,0.00,0.00,0.00,75.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:18+00,2026-03-16 13:59:57.028412+00,,false,,KG
016ed319-73c7-454a-a1eb-c93f0dd7e0d7,"FAN POR. P2,5L 1X6 LYT'25 UTC",0.00,0.00,0.00,0.00,64.36,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:14:06+00,2026-03-16 14:04:26.065843+00,,false,,KG
01f3b4da-7320-430a-8c8a-7f3a28411468,"POLYCARBONAT YUVARLAK ROLL TOP KAPAKLI FANUS R-40,5",0.00,0.00,0.00,0.00,959.79,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:15:00.231289+00,2026-03-16 14:15:00.231289+00,,true,,Adet
021cc1c1-ceed-4618-aa96-eddd47c3c991,KNORR BULYON 5 KG DANA,0.00,0.00,0.00,0.00,1840.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:04.855176+00,2026-03-16 10:17:04.855176+00,,true,,Adet
025a8477-b1b1-46f6-9f34-fa0d512fa4e2,PATLICAN,0.00,0.00,0.00,0.00,100.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:15:20.034737+00,2026-03-16 10:15:20.034737+00,,false,,KG
0297d251-5d7b-493d-9955-8be4d48f4098,SIZDIRMAZ KAP 250 GR,0.00,0.00,0.00,0.00,6.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:32+00,2026-03-16 14:00:21.851737+00,,true,,Adet
030061d7-f8d1-43a7-8825-6ae118ced523,YEMEK KAŞIK GÜLSÜM 304,0.00,0.00,0.00,0.00,618.75,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:15:19.275831+00,2026-03-16 14:15:19.275832+00,,true,,Parça
0356342a-79db-4852-a4dd-1e445a90a22f,NAR TEKLI SARMA ŞEKER 4 KG,0.00,0.00,0.00,0.00,1200.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:12+00,2026-03-16 14:00:02.177019+00,,false,,KG
03882374-5b11-4271-8131-6d9cd2d8a01a,ASBİRATÖR ÜFLEME AĞZI TELLİ KIRKBEŞ DERECE,0.00,0.00,0.00,0.00,1650.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:14:03.574543+00,2026-03-16 14:14:03.574543+00,,true,,Parça
039b9c16-ea07-49aa-b2ed-480cfe9e3f3c,EKER YOĞURT YARIM YAĞLI   10KG,0.00,0.00,0.00,0.00,381.09,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:15:50.726057+00,2026-03-16 14:15:50.726057+00,,true,,Parça
0431c37f-45f3-48f0-85c9-6b429d6abbc5,N73(BÜYÜK) PENNE BARILLA 2 KG,0.00,0.00,0.00,0.00,144.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:10.523818+00,2026-03-16 10:17:10.523818+00,,true,,Adet
04371cb0-f49d-4bd8-a837-3016f147f8a4,TRAKYAĞ A.YAĞI 18LT,0.00,0.00,0.00,0.00,1630.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:41.25061+00,2026-03-16 10:17:41.250611+00,,false,,KG
0479087b-3371-4869-a98a-034ec014e3e8,MIKROFIBER BEZ,0.00,0.00,0.00,0.00,26.00,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:17:08.787665+00,2026-03-16 10:17:08.787666+00,,true,,Adet
0513703d-4ed8-463a-90b4-09691254a793,(*)500064404- -CANON CL-56 RENKLİ KARTUŞ,0.00,0.00,0.00,0.00,483.25,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:12:49.517821+00,2026-03-16 14:12:49.517821+00,,true,,Adet
05511e13-e249-42d1-a738-79ad51a47b3c,HISAR TÜRK KAH. FOLYO 18X500G,0.00,0.00,0.00,0.00,280.88,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 10:10:47.272587+00,2026-03-16 10:10:47.272587+00,,true,,Parça
0555cbb0-42fc-49dc-bdab-478cd99c0c07,ASTRA PLASTİK ÇATAL    50Lİ,0.00,0.00,0.00,0.00,27.63,,99,0.00,true,00000000-0000-0000-0000-000000000000,2026-03-16 14:15:38.987219+00,2026-03-16 14:15:38.98722+00,,false,,KG
