Şube;Stok Kodu;Ürün Adı;Miktar
GENEL;ST39435;ÇITIR TAVUKLU PATAT;1643
GENEL;ST00003;KARIŞIK SICAK TABAK;1108
GENEL;ST01505;HOTDOG;1129
GENEL;ST00020;ÇAY;6688
GENEL;ST00002;KAŞARLI TOST;932
GENEL;ST31967;PATAT;751
GENEL;ST00138;KAHVALTI TABAĞI;312
GENEL;ST00026;COCA COLA;646
GENEL;ST00006;PATSO;522
GENEL;ST00033;SU;2410
GENEL;ST00134;TÜRK KAHVESİ SADE;972
GENEL;ST00004;PATATES KIZARTMASI;480
GENEL;ST00122;LATTE;365
GENEL;ST00894;PİŞİ TABAĞI;208
GENEL;ST00135;TÜRK KAHVESİ ORTA;568
GENEL;ST01021;MAGNOLİA*;120
GENEL;ST01022;PROFİTEROL;116
GENEL;ST01023;TİRAMİSU;104
GENEL;ST00016;KAKOULU CUPCAKE;248
GENEL;ST00752;KALEM BÖREĞİ SEPETİ;107
GENEL;ST00124;SICAK ÇİKOLATA;133
GENEL;ST00125;FUSE TEA ŞEFTALİ;173
GENEL;ST54660;AYRAN;302
GENEL;ST00523;CAPPY VISNELI;140
GENEL;ST41948;ÇITIR TAVUKLU SANDWİ;45
GENEL;ST00027;COLA ZERO;165
GENEL;ST00114;ETİ BROWNİ İNTENSE;36
GENEL;ST00017;HAVUÇLU CUPCAKE;160
GENEL;ST00030;DAMLA SADE SODA;246
GENEL;ST00515;CAPPY PALPY PORTAKAL PET 330ML;112
GENEL;ST00128;FUSE TEA MANGO ANANAS;115
GENEL;ST00127;FUSE TEA KARPUZ;94
GENEL;ST00113;ETİ BROWNİ;40
GENEL;ST00126;FUSE TEA LİMON;91
GENEL;ST00131;CAPPY ŞEFTALİ;84
GENEL;ST00136;TÜRK KAHVESİ ŞEKERLİ;168
GENEL;ST00024;NESCAFE;96
GENEL;ST00129;FUSE TEA KAVUN ÇİLEK;78
GENEL;ST00123;MOCHA;60
GENEL;ST00031;NİĞDE GAZOZ;68
GENEL;ST40081;SOSİSLİ PATAT;43
GENEL;ST00025;*CAPPUCCİNO;50
GENEL;ST00111;ETİ CANGA;16
GENEL;ST00121;KARPUZ - ÇİLEKLİ SODA;114
GENEL;ST00029;SPRİTE;48
GENEL;ST00110;ETİ TOPKEK ÇEŞİTLERİ;236
GENEL;ST00132;CAPPY ATOM;36
GENEL;ST42844;İLAVE ÜRÜN ÇITIR TAV;52
GENEL;ST00897;ÜÇGEN PEYNİR;96
GENEL;ST00119;ELMALI SODA;52
GENEL;ST00133;ANANAS MANGOLU SODA;40
GENEL;ST00028;FANTA 330 ML KUTU;24
GENEL;ST00120;LİMONLU SODA;32
GENEL;ST00754;İLAVE ÜRÜN ÇITIR TAVUK;100
GENEL;ST12893;FUSE TEA MANGO ANANA;11
GENEL;ST00130;CAPPY KARIŞIK;16
GENEL;ST00022;DUBLE TÜRK KAHVESİ;16
GENEL;ST00757;İLAVE ÜRÜN KOKTEYL SOSİS;24
GENEL;ST00896;TEKLİ PİŞİ;44
GENEL;ST32670;KARPUZ - ÇİLEKLİ SOD;14
GENEL;ST73365;İLAVE ÜRÜN BÜTÜN SOS;16
GENEL;ST00108;ETİ ÇİKOLATALI GOFRET;44
GENEL;ST00753;İLAVE ÜRÜN KALEM BÖREĞİ;28
GENEL;ST00023;ESPRESSO;8
GENEL;ST00898;PİKNİK ZEYTİN;24
GENEL;ST07628;SODA LİMON;20
GENEL;ST00112;ETİ CRAX;60
GENEL;ST23315;SODA ELMA;12
GENEL;ST21073;FİLTRE KAHVE;6
GENEL;ST53734;İLAVE ÜRÜN PATATES;12
GENEL;ST85454;İLAVE ÜRÜN KALEM BÖR;4
GENEL;ST06746;ÇITIR TAVUKLU SANDWİÇ;54
GENEL;ST00107;ETİ SUSAMLI ÇUBUK;4
GENEL;ST49447;İLAVE ÜRÜN BÜTÜN SOSİS;20
