Şube;Stok Kodu;Ürün Adı;Miktar
AYAKUSTU;ST39435;ÇITIR TAVUKLU PATAT;1671
AYAKUSTU;ST01505;HOTDOG;1143
AYAKUSTU;ST18373;KARIŞIK SICAK TABAK;831
AYAKUSTU;ST14250;ÇAY;5016
AYAKUSTU;ST31967;PATAT;751
AYAKUSTU;ST05059;KAŞARLI TOST;699
AYAKUSTU;ST75610;PATSO;524
AYAKUSTU;ST22249;COCA COLA;549
AYAKUSTU;ST31366;KAHVALTI TABAĞI;234
AYAKUSTU;ST34100;SU;2035
AYAKUSTU;ST08786;TÜRK KAHVESİ SADE;729
AYAKUSTU;ST05290;PATATES KIZARTMASI;360
AYAKUSTU;ST73164;LATTE;284
AYAKUSTU;ST77294;PİŞİ TABAĞI;156
AYAKUSTU;ST18724;TÜRK KAHVESİ ORTA;426
AYAKUSTU;ST95078;MAGNOLİA*;90
AYAKUSTU;ST41948;ÇITIR TAVUKLU SANDWİ;50
AYAKUSTU;ST80891;PROFİTEROL;87
AYAKUSTU;ST31487;KALEM BÖREĞİ SEPETİ;103
AYAKUSTU;ST54660;AYRAN;304
AYAKUSTU;ST70452;TİRAMİSU;78
AYAKUSTU;ST78194;COLA ZERO;158
AYAKUSTU;ST31038;KAKOULU CUPCAKE;186
AYAKUSTU;ST30588;FUSE TEA ŞEFTALİ;145
AYAKUSTU;ST42110;SICAK ÇİKOLATA;101
AYAKUSTU;ST54374;CAPPY VISNELI;105
AYAKUSTU;ST50483;ETİ BROWNİ İNTENSE;27
AYAKUSTU;ST85533;DAMLA SADE SODA;201
AYAKUSTU;ST23074;HAVUÇLU CUPCAKE;120
AYAKUSTU;ST40081;SOSİSLİ PATAT;49
AYAKUSTU;ST04410;CAPPY PALPY PORTAKAL PET 330ML;84
AYAKUSTU;ST47382;FUSE TEA MANGO ANANAS;89
AYAKUSTU;ST99755;NESCAFE;82
AYAKUSTU;ST28930;FUSE TEA KARPUZ;72
AYAKUSTU;ST53430;FUSE TEA LİMON;70
AYAKUSTU;ST69806;ETİ BROWNİ;30
AYAKUSTU;ST46982;CAPPY ŞEFTALİ;63
AYAKUSTU;ST37207;TÜRK KAHVESİ ŞEKERLİ;126
AYAKUSTU;ST36128;FUSE TEA KAVUN ÇİLEK;60
AYAKUSTU;ST33905;MOCHA;47
AYAKUSTU;ST39328;NİĞDE GAZOZ;51
AYAKUSTU;ST63202;*CAPPUCCİNO;38
AYAKUSTU;ST16428;ETİ CANGA;12
AYAKUSTU;ST47632;KARPUZ - ÇİLEKLİ SODA;89
AYAKUSTU;ST37241;SPRİTE;46
AYAKUSTU;ST42844;İLAVE ÜRÜN ÇITIR TAV;52
AYAKUSTU;ST02084;ETİ TOPKEK ÇEŞİTLERİ;177
AYAKUSTU;ST53906;CAPPY ATOM;27
AYAKUSTU;ST05350;ÜÇGEN PEYNİR;72
AYAKUSTU;ST77786;ELMALI SODA;39
AYAKUSTU;ST14802;FANTA 330 ML KUTU;22
AYAKUSTU;ST12893;FUSE TEA MANGO ANANA;11
AYAKUSTU;ST27466;ANANAS MANGOLU SODA;30
AYAKUSTU;ST29488;LİMONLU SODA;24
AYAKUSTU;ST48381;İLAVE ÜRÜN ÇITIR TAVUK;91
AYAKUSTU;ST32670;KARPUZ - ÇİLEKLİ SOD;14
AYAKUSTU;ST08052;CAPPY KARIŞIK;12
AYAKUSTU;ST11271;DUBLE TÜRK KAHVESİ;12
AYAKUSTU;ST73365;İLAVE ÜRÜN BÜTÜN SOS;16
AYAKUSTU;ST84936;İLAVE ÜRÜN KOKTEYL SOSİS;18
AYAKUSTU;ST07628;SODA LİMON;20
AYAKUSTU;ST85207;TEKLİ PİŞİ;33
AYAKUSTU;ST52341;ETİ ÇİKOLATALI GOFRET;33
AYAKUSTU;ST29473;İLAVE ÜRÜN KALEM BÖREĞİ;22
AYAKUSTU;ST21073;FİLTRE KAHVE;8
AYAKUSTU;ST76630;ESPRESSO;6
AYAKUSTU;ST33835;PİKNİK ZEYTİN;18
AYAKUSTU;ST23315;SODA ELMA;12
AYAKUSTU;ST46830;ETİ CRAX;45
AYAKUSTU;ST53734;İLAVE ÜRÜN PATATES;12
AYAKUSTU;ST85454;İLAVE ÜRÜN KALEM BÖR;4
AYAKUSTU;ST06746;ÇITIR TAVUKLU SANDWİÇ;60
AYAKUSTU;ST95041;ETİ SUSAMLI ÇUBUK;3
AYAKUSTU;ST49447;İLAVE ÜRÜN BÜTÜN SOSİS;20
