Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
ST00168;DS ETİ SUSAMLI ÇUBUK;;ADET;20,00;0,00;0,00
ST00169;DS ETİ HOŞBEŞ GOFRET;;ADET;17,00;0,00;0,00
ST00170;DS SPRİTE;;ADET;40,00;0,00;0,00
ST00173;DS NESCAFE SADE;;ADET;20,00;0,00;0,00
ST00200;AYRAN 200 ML HALİL KOYUNCUOĞLU;;ADET;0,00;0,00;0,00
ST00205;KAYMAKSIZ YĞR YY 150 GR;;ADET;0,00;0,00;0,00
ST00221;CARTE DOR KİDS MARSHMELLOW 5.5 LT;;ADET;0,00;0,00;0,00
ST00235;KOSTİK KATI;;KİLOGRAM;0,00;0,00;0,00
ST00236;PRİL 675 ML;;ADET;0,00;0,00;0,00
ST00237;BULAŞIK MUŞAMBA ÖNLÜK;;ADET;0,00;0,00;0,00
ST00248;ZERDEÇAL TOZ;;KİLOGRAM;0,00;0,00;0,00
ST00249;CARTEDOR PANTH BYK PARÇA B.BDM. 1*5 5 LT;;ADET;0,00;0,00;0,00
ST00277;ETİ TUTKU TART;;ADET;20,00;0,00;0,00
ST00385;BEĞENDİLİ TAVUK IZGARA;;ADET;0,00;0,00;0,00
ST00403;PANDİSPANYA;;ADET;0,00;0,00;0,00
ST00106;ETİ KARAM;ATIŞTIRMALIK;Adet;30,00;0,00;0,00
ST00107;ETİ SUSAMLI ÇUBUK;ATIŞTIRMALIK;ADET;14,00;0,00;0,00
ST00108;ETİ ÇİKOLATALI GOFRET;ATIŞTIRMALIK;ADET;18,00;0,00;0,00
ST00109;ETİ KREMALI BİSKÜVİ;ATIŞTIRMALIK;ADET;13,00;0,00;0,00
ST00110;ETİ TOPKEK ÇEŞİTLERİ;ATIŞTIRMALIK;Adet;12,00;0,00;0,00
ST00111;ETİ CANGA;ATIŞTIRMALIK;Adet;25,00;0,00;0,00
ST00112;ETİ CRAX;ATIŞTIRMALIK;ADET;6,00;0,00;0,00
ST00113;ETİ BROWNİ ;ATIŞTIRMALIK;Adet;15,00;15,00;15,00
ST00114;ETİ BROWNİ İNTENSE;ATIŞTIRMALIK;ADET;25,00;0,00;0,00
ST00143;AYRAN;AYAK ÜSTÜ KONAK İÇECEK;ADET;30,00;30,00;45,00
ST00145;SODA ELMA;AYAK ÜSTÜ KONAK İÇECEK;Adet;35,00;25,00;35,00
ST00146;SODA LİMON;AYAK ÜSTÜ KONAK İÇECEK;Adet;35,00;30,00;35,00
ST00035;HOTDOG;AYAKÜSTÜ KONAK MENÜ;Adet;120,00;0,00;140,00
ST00036;PATAT;AYAKÜSTÜ KONAK MENÜ;Adet;0,00;0,00;100,00
ST00037;ÇITIR TAVUKLU PATAT;AYAKÜSTÜ KONAK MENÜ;Adet;0,00;0,00;140,00
ST00038;PATSO;AYAKÜSTÜ KONAK MENÜ;Adet;0,00;0,00;100,00
ST00159;SOSİSLİ PATAT;AYAKÜSTÜ KONAK MENÜ;ADET;0,00;0,00;140,00
ST00160;KALEM BÖREĞİ SEPETİ;AYAKÜSTÜ KONAK MENÜ;ADET;120,00;0,00;120,00
ST00161;İLAVE ÜRÜN KALEM BÖREĞİ;AYAKÜSTÜ KONAK MENÜ;ADET;25,00;0,00;25,00
ST00162;İLAVE ÜRÜN ÇITIR TAVUK;AYAKÜSTÜ KONAK MENÜ;ADET;30,00;0,00;30,00
ST00163;İLAVE ÜRÜN PATATES;AYAKÜSTÜ KONAK MENÜ;ADET;30,00;0,00;30,00
ST00164;İLAVE ÜRÜN BÜTÜN SOSİS;AYAKÜSTÜ KONAK MENÜ;ADET;0,00;0,00;30,00
ST00416;BARDAK COOKİE*;AYAKÜSTÜ KONAK MENÜ;ADET;35,00;0,00;0,00
ST00417;HİNDİ FÜME SANDVİÇ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00418;BEYAZ PEYNİRLİ SOĞUK SANDVİÇ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00400;KIYMALI BÖREK;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00384;PÜRELİ ROSTO KÖFTE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00402;PEYNİRLİ BÖREK;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00253;KAHVALTI 1;ÇINARLI MENÜ;ADET;0,00;300,00;0,00
ST00254;ETLİ TAZE FASULYE YEMEĞİ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00255;GARNİTÜRLÜ PİRİNÇ PİLAVI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00256;GARNİTÜR;ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00257;SAKIZLI MUHALLEBİ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00282;ELMALI KURABİYE;ÇINARLI MENÜ;ADET;30,00;30,00;30,00
ST00285;KAHVALTI 2;ÇINARLI MENÜ;ADET;200,00;200,00;200,00
ST00310;ETLİ KURU FASÜLYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00311;PİRİNÇ PİLAVI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00312;KALPLİ BEYAZ KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00313;KALPLİ ÇİKOLATALI KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00314;CEVİZLİ ÜZÜMLÜ KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00315;FINDIKLI YUVARLAK KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00316;PEYNİRLİ POĞAÇA;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00317;TUZLU KURABİYE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00318;KANEPE SOSU;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00319;KÖZ BİBERLİ SOS;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00320;HAYDARİ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00321;SOSLU SOSİS;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00322;FINDIK (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00323;BADEM (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00324;FISTIK (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00325;KAJU (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00326;ANTEP FISTIĞI (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00327;DORİTOS TACO MEGA;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00328;LAYS KLASİK MEGA;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00238;FRAMBUAZLI PUDİNG;ÇINARLI MENÜ;ADET;0,00;80,00;0,00
ST00239;HAVUÇ TARÇIN CUPCAKE;ÇINARLI MENÜ;ADET;0,00;60,00;0,00
ST00240;SADE NESCAFE;ÇINARLI MENÜ;ADET;0,00;70,00;0,00
ST00241;ESPRESSO ;ÇINARLI MENÜ;ADET;0,00;90,00;0,00
ST00242;LATTE;ÇINARLI MENÜ;ADET;0,00;80,00;0,00
ST00243;CAPPUCCİNO;ÇINARLI MENÜ;ADET;0,00;70,00;0,00
ST00244;SICAK ÇİKOLATA;ÇINARLI MENÜ;ADET;0,00;80,00;0,00
ST00245;ÇİKOLATALI PUDİNG;ÇINARLI MENÜ;ADET;0,00;80,00;0,00
ST00246;KAKAOLU CUPCAKE;ÇINARLI MENÜ;ADET;0,00;60,00;0,00
ST00259;FIRINDA TAVUK BUT;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00338;KOKTEYL KURU PASTA;ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00339;YAPRAK SARMA;ÇINARLI MENÜ;KİLOGRAM;0,00;0,00;0,00
ST00340;MENÜ 2 ALKOLSÜZ (100 KİŞİ);ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00341;MENÜ 3 ALKOLSÜZ ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00333;RUS SALATASI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00334;MENÜ 1 ALKOLSÜZ (100 KİŞİ);ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00346;MENÜ 1 ALKOLLÜ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00347;MENÜ 1 ŞARAPLI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00348;ÇİĞ KÖFTE;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00350;MENÜ 2 ALKOLLÜ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00354;MENÜ 3 ALKOLLÜ;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00355;MENÜ 2 ŞARAPLI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00356;MENÜ 3 ŞARAPLI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00357;CAFFEE BREAK;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00358;TABAK KAHVALTI MENÜ 1;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00369;ISPANAK GRATEN;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
ST00370;EZOGELİN ÇORBASI;ÇINARLI MENÜ;ADET;0,00;0,00;0,00
