Stok Kodu;Stok Adı;Grubu;Birimi
ST00168;DS ETİ SUSAMLI ÇUBUK;nan;ADET
ST00169;DS ETİ HOŞBEŞ GOFRET;nan;ADET
ST00170;DS SPRİTE;nan;ADET
ST00173;DS NESCAFE SADE;nan;ADET
ST00200;AYRAN 200 ML HALİL KOYUNCUOĞLU;nan;ADET
ST00205;KAYMAKSIZ YĞR YY 150 GR;nan;ADET
ST00221;CARTE DOR KİDS MARSHMELLOW 5.5 LT;nan;ADET
ST00235;KOSTİK KATI;nan;KİLOGRAM
ST00236;PRİL 675 ML;nan;ADET
ST00237;BULAŞIK MUŞAMBA ÖNLÜK;nan;ADET
ST00248;ZERDEÇAL TOZ;nan;KİLOGRAM
ST00249;CARTEDOR PANTH BYK PARÇA B.BDM. 1*5 5 LT;nan;ADET
ST00277;ETİ TUTKU TART;nan;ADET
ST00385;BEĞENDİLİ TAVUK IZGARA;nan;ADET
ST00403;PANDİSPANYA;nan;ADET
ST00106;ETİ KARAM;ATIŞTIRMALIK;ADET
ST00107;ETİ SUSAMLI ÇUBUK;ATIŞTIRMALIK;ADET
ST00108;ETİ ÇİKOLATALI GOFRET;ATIŞTIRMALIK;ADET
ST00109;ETİ KREMALI BİSKÜVİ;ATIŞTIRMALIK;ADET
ST00110;ETİ TOPKEK ÇEŞİTLERİ;ATIŞTIRMALIK;ADET
ST00111;ETİ CANGA;ATIŞTIRMALIK;ADET
ST00112;ETİ CRAX;ATIŞTIRMALIK;ADET
ST00113;ETİ BROWNİ;ATIŞTIRMALIK;ADET
ST00114;ETİ BROWNİ İNTENSE;ATIŞTIRMALIK;ADET
ST00143;AYRAN;AYAK ÜSTÜ KONAK İÇECEK;ADET
ST00145;SODA ELMA;AYAK ÜSTÜ KONAK İÇECEK;ADET
ST00146;SODA LİMON;AYAK ÜSTÜ KONAK İÇECEK;ADET
ST00035;HOTDOG;AYAKÜSTÜ KONAK MENÜ;ADET
ST00036;PATAT;AYAKÜSTÜ KONAK MENÜ;ADET
ST00037;ÇITIR TAVUKLU PATAT;AYAKÜSTÜ KONAK MENÜ;ADET
ST00038;PATSO;AYAKÜSTÜ KONAK MENÜ;ADET
ST00159;SOSİSLİ PATAT;AYAKÜSTÜ KONAK MENÜ;ADET
ST00160;KALEM BÖREĞİ SEPETİ;AYAKÜSTÜ KONAK MENÜ;ADET
ST00161;İLAVE ÜRÜN KALEM BÖREĞİ;AYAKÜSTÜ KONAK MENÜ;ADET
ST00162;İLAVE ÜRÜN ÇITIR TAVUK;AYAKÜSTÜ KONAK MENÜ;ADET
ST00163;İLAVE ÜRÜN PATATES;AYAKÜSTÜ KONAK MENÜ;ADET
ST00164;İLAVE ÜRÜN BÜTÜN SOSİS;AYAKÜSTÜ KONAK MENÜ;ADET
ST00416;BARDAK COOKİE*;AYAKÜSTÜ KONAK MENÜ;ADET
ST00417;HİNDİ FÜME SANDVİÇ;ÇINARLI MENÜ;ADET
ST00418;BEYAZ PEYNİRLİ SOĞUK SANDVİÇ;ÇINARLI MENÜ;ADET
ST00400;KIYMALI BÖREK;ÇINARLI MENÜ;ADET
ST00384;PÜRELİ ROSTO KÖFTE;ÇINARLI MENÜ;ADET
ST00402;PEYNİRLİ BÖREK;ÇINARLI MENÜ;ADET
ST00253;KAHVALTI 1;ÇINARLI MENÜ;ADET
ST00254;ETLİ TAZE FASULYE YEMEĞİ;ÇINARLI MENÜ;ADET
ST00255;GARNİTÜRLÜ PİRİNÇ PİLAVI;ÇINARLI MENÜ;ADET
ST00256;GARNİTÜR;ÇINARLI MENÜ;KİLOGRAM
ST00257;SAKIZLI MUHALLEBİ;ÇINARLI MENÜ;ADET
ST00282;ELMALI KURABİYE;ÇINARLI MENÜ;ADET
ST00285;KAHVALTI 2;ÇINARLI MENÜ;ADET
ST00310;ETLİ KURU FASÜLYE;ÇINARLI MENÜ;ADET
ST00311;PİRİNÇ PİLAVI;ÇINARLI MENÜ;ADET
ST00312;KALPLİ BEYAZ KURABİYE;ÇINARLI MENÜ;ADET
ST00313;KALPLİ ÇİKOLATALI KURABİYE;ÇINARLI MENÜ;ADET
ST00314;CEVİZLİ ÜZÜMLÜ KURABİYE;ÇINARLI MENÜ;ADET
ST00315;FINDIKLI YUVARLAK KURABİYE;ÇINARLI MENÜ;ADET
ST00316;PEYNİRLİ POĞAÇA;ÇINARLI MENÜ;ADET
ST00317;TUZLU KURABİYE;ÇINARLI MENÜ;ADET
ST00318;KANEPE SOSU;ÇINARLI MENÜ;ADET
ST00319;KÖZ BİBERLİ SOS;ÇINARLI MENÜ;ADET
ST00320;HAYDARİ;ÇINARLI MENÜ;ADET
ST00321;SOSLU SOSİS;ÇINARLI MENÜ;ADET
ST00322;FINDIK (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM
ST00323;BADEM (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM
ST00324;FISTIK (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM
ST00325;KAJU (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM
ST00326;ANTEP FISTIĞI (ÇEREZ);ÇINARLI MENÜ;KİLOGRAM
ST00327;DORİTOS TACO MEGA;ÇINARLI MENÜ;ADET
ST00328;LAYS KLASİK MEGA;ÇINARLI MENÜ;ADET
ST00238;FRAMBUAZLI PUDİNG;ÇINARLI MENÜ;ADET
ST00239;HAVUÇ TARÇIN CUPCAKE;ÇINARLI MENÜ;ADET
ST00240;SADE NESCAFE;ÇINARLI MENÜ;ADET
ST00241;ESPRESSO;ÇINARLI MENÜ;ADET
ST00242;LATTE;ÇINARLI MENÜ;ADET
ST00243;CAPPUCCİNO;ÇINARLI MENÜ;ADET
ST00244;SICAK ÇİKOLATA;ÇINARLI MENÜ;ADET
ST00245;ÇİKOLATALI PUDİNG;ÇINARLI MENÜ;ADET
ST00246;KAKAOLU CUPCAKE;ÇINARLI MENÜ;ADET
ST00259;FIRINDA TAVUK BUT;ÇINARLI MENÜ;ADET
ST00338;KOKTEYL KURU PASTA;ÇINARLI MENÜ;KİLOGRAM
ST00339;YAPRAK SARMA;ÇINARLI MENÜ;KİLOGRAM
ST00340;MENÜ 2 ALKOLSÜZ (100 KİŞİ);ÇINARLI MENÜ;ADET
ST00341;MENÜ 3 ALKOLSÜZ;ÇINARLI MENÜ;ADET
ST00333;RUS SALATASI;ÇINARLI MENÜ;ADET
ST00334;MENÜ 1 ALKOLSÜZ (100 KİŞİ);ÇINARLI MENÜ;ADET
ST00346;MENÜ 1 ALKOLLÜ;ÇINARLI MENÜ;ADET
ST00347;MENÜ 1 ŞARAPLI;ÇINARLI MENÜ;ADET
ST00348;ÇİĞ KÖFTE;ÇINARLI MENÜ;ADET
ST00350;MENÜ 2 ALKOLLÜ;ÇINARLI MENÜ;ADET
ST00354;MENÜ 3 ALKOLLÜ;ÇINARLI MENÜ;ADET
ST00355;MENÜ 2 ŞARAPLI;ÇINARLI MENÜ;ADET
ST00356;MENÜ 3 ŞARAPLI;ÇINARLI MENÜ;ADET
ST00357;CAFFEE BREAK;ÇINARLI MENÜ;ADET
ST00358;TABAK KAHVALTI MENÜ 1;ÇINARLI MENÜ;ADET
ST00369;ISPANAK GRATEN;ÇINARLI MENÜ;ADET
ST00370;EZOGELİN ÇORBASI;ÇINARLI MENÜ;ADET
ST00371;EKŞİLİ MİSKET KÖFTE;ÇINARLI MENÜ;ADET
ST00372;MEYHANE PİLAVI;ÇINARLI MENÜ;ADET
