Stok Kodu,Stok Adı,Grubu,Birimi,MUTLULUK KAHVELERİ,ÇINARLI,AYAKÜSTÜ,MatchedIngredientName,MatchedPrice,SimScore,NeedsReview
ST00168,DS ETİ SUSAMLI ÇUBUK,,ADET,"20,00","0,00","0,00",CCZ SUGAR KUTU 330ML PXE DYS,643.63,41,1
ST00169,DS ETİ HOŞBEŞ GOFRET,,ADET,"17,00","0,00","0,00",ÇERİ DOMATES,100.0,43,1
ST00170,DS SPRİTE,,ADET,"40,00","0,00","0,00",PRİL,213.0,46,1
ST00173,DS NESCAFE SADE,,ADET,"20,00","0,00","0,00",NESCAFE CLASSIC Tin SR 6x1kg,1368.96,63,1
ST00200,AYRAN 200 ML HALİL KOYUNCUOĞLU,,ADET,"0,00","0,00","0,00",AYRAN 200 MLT,184.0,81,1
ST00205,KAYMAKSIZ YĞR YY 150 GR,,ADET,"0,00","0,00","0,00",KAYMAKSIZ YĞR YY KOVA 10 KG ED,387.09,67,1
ST00221,CARTE DOR KİDS MARSHMELLOW 5.5 LT,,ADET,"0,00","0,00","0,00",ARBELLA BURGU MAKARNA 5 KG,37.8,45,1
ST00235,KOSTİK KATI,,KİLOGRAM,"0,00","0,00","0,00",KARIŞTIRICI,56.0,54,1
ST00236,PRİL 675 ML,,ADET,"0,00","0,00","0,00",PRİL,213.0,100,0
ST00237,BULAŞIK MUŞAMBA ÖNLÜK,,ADET,"0,00","0,00","0,00",LİMON LAMAS,110.0,43,1
ST00248,ZERDEÇAL TOZ,,KİLOGRAM,"0,00","0,00","0,00",TOZ ŞEKER 50  KG,1975.0,44,1
ST00249,CARTEDOR PANTH BYK PARÇA B.BDM. 1*5 5 LT,,ADET,"0,00","0,00","0,00","FAN POR. P2,5L 1X6 LYT'25 UTC",384.0,47,1
ST00277,ETİ TUTKU TART,,ADET,"20,00","0,00","0,00",KARTON KUMPİR 100'LÜ,4.29,41,1
ST00385,BEĞENDİLİ TAVUK IZGARA,,ADET,"0,00","0,00","0,00",HISAR TÜRK KAH. FOLYO 18X500G,280.88,44,1
ST00403,PANDİSPANYA,,ADET,"0,00","0,00","0,00",PATLICAN,100.0,52,1
ST00106,ETİ KARAM,ATIŞTIRMALIK,Adet,"30,00","0,00","0,00",KAPYA BİBER,130.0,50,1
ST00107,ETİ SUSAMLI ÇUBUK,ATIŞTIRMALIK,ADET,"14,00","0,00","0,00",SIVI SABUN 5 LT,189.8,43,1
ST00108,ETİ ÇİKOLATALI GOFRET,ATIŞTIRMALIK,ADET,"18,00","0,00","0,00",DERECIK SIRKE 2 LT *9AD,41.0,40,1
ST00109,ETİ KREMALI BİSKÜVİ,ATIŞTIRMALIK,ADET,"13,00","0,00","0,00",BIOGURME / FLENE %20 YAĞLI KREMA 1LT,96.0,50,1
ST00110,ETİ TOPKEK ÇEŞİTLERİ,ATIŞTIRMALIK,Adet,"12,00","0,00","0,00",ÇERİ DOMATES,100.0,43,1
ST00111,ETİ CANGA,ATIŞTIRMALIK,Adet,"25,00","0,00","0,00",BAHÇIVAN MOZERELLA PEYNIR,379.0,41,1
ST00112,ETİ CRAX,ATIŞTIRMALIK,ADET,"6,00","0,00","0,00",BİBER TATLI,160.0,42,1
ST00113,ETİ BROWNİ ,ATIŞTIRMALIK,Adet,"15,00","15,00","15,00",BİBER TATLI,160.0,47,1
ST00114,ETİ BROWNİ İNTENSE,ATIŞTIRMALIK,ADET,"25,00","0,00","0,00",YEŞİL BİBER,120.0,41,1
ST00143,AYRAN,AYAK ÜSTÜ KONAK İÇECEK,ADET,"30,00","30,00","45,00",AYRAN 300 ML. EDT,13.1,100,0
ST00145,SODA ELMA,AYAK ÜSTÜ KONAK İÇECEK,Adet,"35,00","25,00","35,00",ELMA,120.0,100,0
ST00146,SODA LİMON,AYAK ÜSTÜ KONAK İÇECEK,Adet,"35,00","30,00","35,00",LİMON,120.0,100,0
ST00035,HOTDOG,AYAKÜSTÜ KONAK MENÜ,Adet,"120,00","0,00","140,00",LOLOROSSO,90.0,26,1
ST00036,PATAT,AYAKÜSTÜ KONAK MENÜ,Adet,"0,00","0,00","100,00",PATATES,35.0,83,1
ST00037,ÇITIR TAVUKLU PATAT,AYAKÜSTÜ KONAK MENÜ,Adet,"0,00","0,00","140,00",BİBER TATLI,160.0,46,1
